PAP Ref, LAND RATE (PER ACRE) 
IK0560," 25,000,000 "
IK0561," 25,000,000 "
IK0562," 25,000,000 "
IK0563," 25,000,000 "
IK0564," 25,000,000 "
IK0565," 25,000,000 "
IK0566," 25,000,000 "
IK0567," 25,000,000 "
IK0568," 25,000,000 "
IK0569," 25,000,000 "
IK0570," 25,000,000 "
IK0571," 25,000,000 "
IK0572," 25,000,000 "
IK0573," 25,000,000 "
IK0574," 25,000,000 "
IK0575," 25,000,000 "
IK0576," 25,000,000 "
IK0577," 25,000,000 "
IK0578," 25,000,000 "
IK0579," 25,000,000 "
IK0580," 25,000,000 "
IK0581," 25,000,000 "
IK0582," 25,000,000 "
IK0583," 25,000,000 "
IK0584," 25,000,000 "
IK0585," 25,000,000 "
IK0586," 25,000,000 "
IK0587," 25,000,000 "
IK0588," 25,000,000 "
IK0589," 25,000,000 "
IK0590," 25,000,000 "
IK0591," 25,000,000 "
IK0592," 25,000,000 "
IK0593," 25,000,000 "
IK0594," 25,000,000 "
IK0595," 25,000,000 "
IK0596," 25,000,000 "
IK0597," 25,000,000 "
IK0598," 25,000,000 "
IK0599," 25,000,000 "
IK0600," 25,000,000 "
IK0601," 25,000,000 "
IK0602," 25,000,000 "
IK0603," 25,000,000 "
IK0604," 25,000,000 "
IK0605," 25,000,000 "
IK0606," 25,000,000 "
IK0607," 25,000,000 "
IK0608," 25,000,000 "
IK0609," 25,000,000 "
IK0610," 25,000,000 "
IK0611," 25,000,000 "
IK0612," 25,000,000 "
IK0613," 25,000,000 "
IK0614," 25,000,000 "
IK0615," 25,000,000 "
IK0616," 25,000,000 "
IK0617," 25,000,000 "
IK0618," 25,000,000 "
IK0619," 25,000,000 "
IK0620," 25,000,000 "
IK0621," 25,000,000 "
IK0622," 25,000,000 "
IK0623," 25,000,000 "
IK0624," 25,000,000 "
IK0625," 25,000,000 "
IK0626," 25,000,000 "
IK0627," 25,000,000 "
IK0628," 25,000,000 "
IK0629," 25,000,000 "
IK0630," 25,000,000 "
IK0631," 25,000,000 "
IK0632," 25,000,000 "
IK0633," 25,000,000 "
IK0634," 25,000,000 "
IK0635," 25,000,000 "
IK0636," 25,000,000 "
IK0637," 25,000,000 "
IK0638," 25,000,000 "
IK0639," 25,000,000 "
IK0640," 25,000,000 "
IK0641," 25,000,000 "
IK0642," 25,000,000 "
IK0643," 25,000,000 "
IK0644," 25,000,000 "
IK0645," 25,000,000 "
IK0646," 25,000,000 "
IK0647," 25,000,000 "
IK0648," 25,000,000 "
IK0649," 25,000,000 "
IK0650," 25,000,000 "
IK0651," 25,000,000 "
IK0652," 25,000,000 "
IK0653," 25,000,000 "
IK0654," 25,000,000 "
IK0655," 25,000,000 "
IK0656," 25,000,000 "
IK0657," 25,000,000 "
IK0658," 25,000,000 "
IK0659," 25,000,000 "
IK0660," 25,000,000 "
IK0661," 25,000,000 "
IK0662," 25,000,000 "
IK0663," 25,000,000 "
IK0664," 25,000,000 "
IK0665," 25,000,000 "
IK0666," 25,000,000 "
IK0667," 25,000,000 "
IK0668," 25,000,000 "
IK0669," 25,000,000 "
IK0670," 25,000,000 "
IK0671," 25,000,000 "
IK0672," 25,000,000 "
IK0673," 25,000,000 "
IK0674," 25,000,000 "
IK0675," 25,000,000 "
IK0676," 25,000,000 "
IK0677," 25,000,000 "
IK0678," 25,000,000 "
IK0679," 25,000,000 "
IK0680," 25,000,000 "
IK0681," 25,000,000 "
IK0682," 25,000,000 "
