IK0287,9.9600,0.0025
IK0288,65.3900,0.0162
IK0289,25.5500,0.0063
IK0290,26.6200,0.0066
IK0291,22.8300,0.0056
IK0292,27.0000,0.0067
IK0293,24.5600,0.0061
IK0294,23.7100,0.0059
IK0295,668.4300,0.1652
IK0296,19.4800,0.0048
IK0297,41.4400,0.0102
IK0298,24.6100,0.0061
IK0299,23.1300,0.0057
IK0300,28.3300,0.0070
IK0301,50.9000,0.0126
IK0302,28.3900,0.0070
IK0303,73.9600,0.0183
IK0304,47.1800,0.0117
IK0305,69.2500,0.0171
IK0306,130.3200,0.0322
IK0307,55.9900,0.0138
IK0308,73.9300,0.0183
IK0309,40.1500,0.0099
IK0310,99.7000,0.0246
IK0311,81.3000,0.0201
IK0312,57.5400,0.0142
IK0313,76.8900,0.0190
IK0314,89.4300,0.0221
IK0315,61.4900,0.0152
IK0316,54.1300,0.0134
IK0317,22.9700,0.0057
IK0318,38.8300,0.0096
IK0319,25.8300,0.0064
IK0320,53.9600,0.0133
IK0321,268.8200,0.0664
IK0322,39.6000,0.0098
IK0323,20.1500,0.0050
IK0324,31.4900,0.0078
IK0325,30.6800,0.0076
IK0326,41.1600,0.0102
IK0327,44.6700,0.0110
IK0328,47.8300,0.0118
IK0329,119.3300,0.0295
IK0330,341.8000,0.0845
IK0331,425.5800,0.1052
IK0332,251.8500,0.0622
IK0333,,0.0000
IK0334,508.8300,0.1257
IK0335,248.2300,0.0613
IK0336,31.0400,0.0077
IK0337,,0.0000
IK0338,290.9800,0.0719
IK0339,606.0900,0.1498
IK0340,79.3800,0.0196
IK0341,,0.0000
IK0342,14.1700,0.0035
IK0343,34.5900,0.0085
IK0344,32.8400,0.0081
IK0345,93.7000,0.0232
IK0346,76.9900,0.0190
IK0347,53.8300,0.0133
IK0348,35.2700,0.0087
IK0349,22.2400,0.0055
IK0350,92.4400,0.0228
IK0351,40.2300,0.0099
IK0352,19.5100,0.0048
IK0353,,0.0000
IK0354,32.2000,0.0080
IK0355,31.1400,0.0077
IK0356,39.7000,0.0098
IK0357,12.6500,0.0031
IK0358,33.4100,0.0083
IK0359,38.4400,0.0095
IK0360,24.5800,0.0061
IK0361,19.3900,0.0048
IK0362,24.2200,0.0060
IK0363,126.3100,0.0312
IK0364,97.8000,0.0242
IK0365,91.1800,0.0225
IK0366,11.3500,0.0028
IK0367,1002.7600,0.2478
IK0368,23.6200,0.0058
IK0369,17.5700,0.0043
IK0370,13.6600,0.0034
IK0371,17.3100,0.0043
IK0372,15.3500,0.0038
IK0373,20.9000,0.0052
IK0374,61.2000,0.0151
IK0375,39.7700,0.0098
IK0376,65.1000,0.0161
IK0377,,0.0000
IK0378,69.2200,0.0171
IK0379,37.1100,0.0092
IK0380,,0.0000
IK0381,,0.0000
IK0382,,0.0000
IK0383,,0.0000
IK0384,55.3800,0.0137
IK0385,15.3800,0.0038
IK0386,18.3200,0.0045
IK0387,15.0000,0.0037
IK0388,35.4100,0.0088
IK0389,28.3400,0.0070
IK0390,24.8400,0.0061
IK0391,24.7100,0.0061
IK0392,19.4900,0.0048
IK0393,26.3900,0.0065
