pap_ref,total_take,rate_per_acre,land_interest,tenure
NGE0246,0.1645,3000000,100,Customary
NGE0247,0.3571,3000000,100,Customary
NGE0248,0.2752,3000000,100,Customary
NGE0249,0.309,3000000,100,Customary
NGE0250,0.0774,3000000,100,Customary
NGE0251,0.1185,3000000,100,Customary
NGE0252,0.3546,3000000,100,Customary
NGE0253,0.1788,3000000,100,Customary
NGE0254,0.2776,3000000,100,Customary
NGE0255,0.1433,3000000,100,Customary
NGE0256,0.0879,3000000,100,Customary
NGE0257,0.8499,3000000,100,Customary
NGE0258,1.2903,3000000,100,Customary
NGE0259,0.3976,3000000,100,Customary
NGE0260,0.9248,3000000,100,Customary
NGE0261,0.6886,3000000,100,Customary
NGE0262,0.3438,3000000,100,Customary
NGE0263,0.8137,3000000,100,Customary
NGE0264,7.4017,3000000,100,Customary
NGE0265,0.4917,3000000,100,Customary
NGE0266,0.4348,3000000,100,Customary
NGE0267,0.3224,3000000,100,Customary
NGE0268,4.2119,3000000,100,Customary
NGE0269,0.2429,3000000,100,Customary
NGE0270,0.3514,3000000,100,Customary
NGE0271,1.0957,3000000,100,Customary
NGE0272,0.2241,3000000,100,Customary
NGE0273,0.2579,3000000,100,Customary
NGE0274,0.1769,3000000,100,Customary
NGE0275,0.1813,3000000,100,Customary
NGE0276,0.1446,3000000,100,Customary
NGE0277,0.1023,3000000,100,Customary
NGE0278,0.2542,3000000,100,Customary
NGE0279,0.1815,3000000,100,Customary
NGE0280,2.317,3000000,100,Customary
NGE0281,0.1858,3000000,100,Customary
NGE0282,1.5956,3000000,100,Customary
NGE0283,0.1442,3000000,100,Customary
NGE0284,0.1643,3000000,100,Customary
NGE0285,1.1177,3000000,100,Customary
NGE0286,1.2902,3000000,100,Customary
NGE0287,3.2963,3000000,100,Customary
NGE0288,1.2257,3000000,100,Customary
NGE0289,0.9963,3000000,100,Customary
NGE0290,0.1782,3000000,90,Customary
NGE0291,0.1782,3000000,10,TENANT
NGE0292,0.0246,3000000,100,Customary
NGE0293,0.0246,3000000,100,Customary
NGE0294,0.0246,3000000,90,Customary
NGE0295,0.0246,3000000,10,TENANT
NGE0296,0.1312,3000000,100,Customary
NGE0297,0.2522,3000000,90,Customary
NGE0298,0.2522,3000000,10,TENANT
NGE0299,0.1761,3000000,100,Customary
NGE0300,0.1183,3000000,100,Customary
NGE0301,0.2557,3000000,90,Customary
NGE0302,0.2557,3000000,10,TENANT
NGE0303,0.0609,3000000,90,Customary
NGE0304,0.0609,3000000,10,TENANT
NGE0305,0.2732,3000000,90,Customary
NGE0306,0.2732,3000000,10,TENANT
NGE0307,0.3107,3000000,100,Customary
NGE0308,0.1,3000000,100,Customary
NGE0309,0.0096,3000000,100,Customary
NGE0310,0.188,3000000,100,Customary
NGE0311,0.1261,3000000,100,Customary
NGE0312,0.066,3000000,100,Customary
NGE0313,0.1637,3000000,100,Customary
NGE0314,0.2192,3000000,100,Customary
NGE0315,2.2813,3000000,100,Customary
NGE0316,0.6359,3000000,100,Customary
NGE0317,0.0673,3000000,100,Customary
NGE0318,0.0284,3000000,90,Customary
